season,subdivision,team_id,team_name,portal_payload_available,incoming_transfer_count,d5_applicable_transfer_count,d5_successfully_resolved_count,d5_legitimate_zero_or_non_applicable_count,d5_resolution_failure_count,d5_applicability_unknown_count,joined_prior_usage_count,unmatched_incoming_count,undetermined_incoming_count,observed_incoming_prior_offensive_usage,observed_incoming_prior_usage,unresolved_prior_offensive_usage_upper_bound,unresolved_offensive_usage_missing_upper_bound,unmatched_prior_usage_upper_bound,plausible_prior_offensive_usage_upper_bound_basis,feature_coverage_status,missingness_flag,roster_strength_proxy,conference
2021,fbs,103,Boston College,True,6,2,2,2,0,2,2,0,2,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,636.46,
2021,fbs,113,Massachusetts,True,11,3,2,3,1,5,2,1,5,0.122,0.122,0.868,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,227.21,
2021,fbs,12,Arizona,True,16,4,3,8,1,4,3,1,4,0.604,0.604,1.35,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,567.61,
2021,fbs,120,Maryland,True,1,1,1,0,0,0,1,0,0,0.068,0.068,0.068,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,705.79,
2021,fbs,127,Michigan State,True,14,2,2,10,0,2,2,0,2,0.678,0.678,0.678,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,677.07,
2021,fbs,130,Michigan,True,5,1,1,1,0,3,1,0,3,0.398,0.398,0.398,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,832.6,
2021,fbs,135,Minnesota,True,7,0,0,3,0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,653.25,
2021,fbs,142,Missouri,True,5,0,0,4,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,647.74,
2021,fbs,145,Ole Miss,True,3,1,1,2,0,0,1,0,0,0.117,0.117,0.117,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,732.02,
2021,fbs,150,Duke,True,8,0,0,2,0,6,0,0,6,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,605.57,
2021,fbs,151,East Carolina,True,11,1,1,7,0,3,1,0,3,0.014,0.014,0.014,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,516.06,
2021,fbs,152,NC State,True,4,0,0,3,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,700.36,
2021,fbs,153,North Carolina,True,1,1,1,0,0,0,1,0,0,0.179,0.179,0.179,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,798.29,
2021,fbs,154,Wake Forest,True,6,1,1,4,0,1,1,0,1,0.048,0.048,0.048,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,589.19,
2021,fbs,158,Nebraska,True,5,2,1,1,1,2,1,1,2,0.128,0.128,0.874,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,743.7,
2021,fbs,164,Rutgers,True,7,0,0,4,0,3,0,0,3,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,573.14,
2021,fbs,166,New Mexico State,True,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,undetermined_applicability,1,117.43,
2021,fbs,167,New Mexico,True,4,1,1,2,0,1,1,0,1,0.494,0.494,0.494,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,360.77,
2021,fbs,183,Syracuse,True,3,1,1,0,0,2,1,0,2,0.012,0.012,0.012,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,567.19,
2021,fbs,189,Bowling Green,True,5,0,0,4,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,380.74,
2021,fbs,193,Miami (OH),True,2,1,1,1,0,0,1,0,0,0.038,0.038,0.038,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,378.03,
2021,fbs,194,Ohio State,True,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,985.09,
2021,fbs,195,Ohio,True,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,undetermined_applicability,1,332.25,
2021,fbs,197,Oklahoma State,True,5,2,1,1,1,2,1,1,2,0.246,0.246,0.992,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,613.69,
2021,fbs,2,Auburn,True,10,2,2,7,0,1,2,0,1,0.46299999999999997,0.46299999999999997,0.46299999999999997,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,840.38,
2021,fbs,2005,Air Force,True,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,30.32,
2021,fbs,2006,Akron,True,3,1,1,2,0,0,1,0,0,0.041,0.041,0.041,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,330.97,
2021,fbs,201,Oklahoma,True,10,1,1,6,0,3,1,0,3,0.301,0.301,0.301,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,895.38,
2021,fbs,202,Tulsa,True,6,1,1,2,0,3,1,0,3,0.058,0.058,0.058,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,470.49,
2021,fbs,2026,App State,True,7,2,2,2,0,3,2,0,3,0.595,0.595,0.595,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,450.04,
2021,fbs,2032,Arkansas State,True,17,4,4,8,0,5,4,0,5,0.402,0.402,0.402,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,475.74,
2021,fbs,204,Oregon State,True,6,2,2,3,0,1,2,0,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,640.66,
2021,fbs,2050,Ball State,True,2,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,338.31,
2021,fbs,2084,Buffalo,True,6,2,2,4,0,0,2,0,0,0.131,0.131,0.131,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,267.09,
2021,fbs,21,San Diego State,True,2,1,1,0,0,1,1,0,1,0.058,0.058,0.058,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,441.63,
2021,fbs,2116,UCF,True,10,4,4,5,0,1,4,0,1,0.319,0.319,0.319,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,639.06,
2021,fbs,2117,Central Michigan,True,3,1,1,1,0,1,1,0,1,0.043,0.043,0.043,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,268.89,
2021,fbs,213,Penn State,True,6,1,1,3,0,2,1,0,2,0.153,0.153,0.153,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,820.72,
2021,fbs,2132,Cincinnati,True,3,0,0,1,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,626.54,
2021,fbs,218,Temple,True,11,1,1,8,0,2,1,0,2,0.205,0.205,0.205,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,501.4,
2021,fbs,2199,Eastern Michigan,True,3,1,1,1,0,1,1,0,1,0.059,0.059,0.059,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,340.6,
2021,fbs,221,Pittsburgh,True,4,2,1,1,1,1,1,1,1,0.087,0.087,0.833,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,668.67,
2021,fbs,2226,Florida Atlantic,True,7,2,2,3,0,2,2,0,2,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,553.28,
2021,fbs,2229,Florida International,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,520.69,
2021,fbs,2247,Georgia State,True,3,1,1,0,0,2,1,0,2,0.025,0.025,0.025,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,413.91,
2021,fbs,228,Clemson,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,935.08,
2021,fbs,2294,Iowa,True,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,undetermined_applicability,1,657.39,
2021,fbs,23,San José State,True,9,1,1,6,0,2,1,0,2,0.019,0.019,0.019,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,410.81,
