season,cutoff_label,cutoff,cutoff_index,is_final_cutoff,prior_family,population_view,candidate,game_count,ypp_observed_game_count,game_key_sha256,team_key_sha256,matched_fbs_teams,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_width,mean_entropy,mean_max_probability,top5_brier,top10_brier,top25_brier,posterior_converged,posterior_iterations,posterior_max_message_delta
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,full,v1,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.808724471069416,0.019460797308947102,7.4566644006627225,7.763358778625954,0.7965602869493239,29.022900763358777,3.718152194795912,0.05037161246472642,0.003106015737998588,0.005865819905911003,0.022990687606741392,True,49,9.289356576319685e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,full,y1,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.808724471069416,0.019460797308947102,7.4566644006627225,7.763358778625954,0.7965602869493239,29.022900763358777,3.718152194795912,0.05037161246472642,0.003106015737998588,0.005865819905911003,0.022990687606741392,True,49,9.289356576319685e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,full,y2_all_pairings_original,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.909923137515968,0.024518552780664716,8.485389463075622,8.732824427480915,0.7564609583371654,28.3206106870229,3.6894207708511213,0.051828375392683805,0.003111256475250275,0.006769982431942212,0.027936618733531555,True,55,8.977711859342596e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,full,y2_supported,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.834776842373221,0.02074890301170276,7.742255209566905,8.053435114503817,0.7807412857537019,28.480916030534353,3.697743263243858,0.05143679404099167,0.002921814565369676,0.005609941954052618,0.022304267633396387,True,50,9.149713453907027e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,full,naive_independent_diagnostic,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.051748679989983,0.025839096549039587,8.645778359506002,8.877862595419847,0.6797571967258347,23.236641221374047,3.5201661024293682,0.05949486790356281,0.0024914990212185216,0.006016090171224833,0.023237997215902743,True,52,9.30253113526347e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,ypp_observed,v1,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8050748932488285,0.01926904173731701,7.407782884138465,7.709923664122138,0.798399705693001,29.0381679389313,3.718705412246452,0.05038364285241276,0.00312239841569408,0.005868211626168681,0.023098472660306242,True,51,9.176993528078881e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,ypp_observed,y1,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8050748932488285,0.01926904173731701,7.407782884138465,7.709923664122138,0.798399705693001,29.0381679389313,3.718705412246452,0.05038364285241276,0.00312239841569408,0.005868211626168681,0.023098472660306242,True,51,9.176993528078881e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,ypp_observed,y2_all_pairings_original,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.90639507761224,0.024381004332940073,8.457770195057856,8.702290076335878,0.7571047548974524,28.3206106870229,3.690098749580225,0.05184817153540811,0.0031362699013033984,0.006826822291458949,0.028227830911333445,True,53,9.506711989015759e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,context,ypp_observed,y2_supported,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.830657488181056,0.020569363151941505,7.701201330290985,8.0,0.7813850823139888,28.480916030534353,3.698095498910372,0.05145852562229028,0.002936574959527107,0.005616793016584957,0.022389253276414053,True,52,9.181711644254409e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,full,v1,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8010388363437015,0.018913069261854272,7.473271174855445,7.7251908396946565,0.8005150372482296,29.480916030534353,3.7372565386319994,0.04885940890868697,0.0035546275282598732,0.005640258092915623,0.019999163229667282,True,46,9.735217770256988e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,full,y1,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8010388363437015,0.018913069261854272,7.473271174855445,7.7251908396946565,0.8005150372482296,29.480916030534353,3.7372565386319994,0.04885940890868697,0.0035546275282598732,0.005640258092915623,0.019999163229667282,True,46,9.735217770256988e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,full,y2_all_pairings_original,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8762561281651546,0.022886286708524144,8.257219570016675,8.633587786259541,0.7667617033017566,28.6793893129771,3.708801129463615,0.05034186437799081,0.003632624389119326,0.006607072984740815,0.024281387033230916,True,57,9.817053422955802e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,full,y2_supported,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.833147976891481,0.02070110469879563,7.943167810463465,8.183206106870228,0.7812931113768049,28.69465648854962,3.7147261131946463,0.04999117544511662,0.003338907714049979,0.005358299704034046,0.019826994053488183,True,48,8.980800361851893e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,full,naive_independent_diagnostic,1495,1478,73679476f1e64b6640b6e448422008c9ae87610657c0552a7c3d8ca7910b9c3a,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.044378495739991,0.02582964836992175,8.77908108734461,9.068702290076336,0.6791134001655477,23.427480916030536,3.5323829030436884,0.05836504136417182,0.0027752681206477973,0.00577943316501303,0.021039199058590786,True,47,9.571772464495032e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,ypp_observed,v1,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.7985312583308892,0.01879375915721256,7.441272216196214,7.717557251908397,0.8018946013059872,29.53435114503817,3.737894982687112,0.0488228908614358,0.003570312391473392,0.005648006927970295,0.020115507283486357,True,49,9.045048568606662e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,ypp_observed,y1,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.7985312583308892,0.01879375915721256,7.441272216196214,7.717557251908397,0.8018946013059872,29.53435114503817,3.737894982687112,0.0488228908614358,0.003570312391473392,0.005648006927970295,0.020115507283486357,True,49,9.045048568606662e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,ypp_observed,y2_all_pairings_original,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.8729614409692554,0.02276309992459535,8.236134562431493,8.610687022900763,0.7678653545479627,28.72519083969466,3.7096137254237482,0.05031144549308371,0.00366204085205512,0.006673578745746896,0.0245478971083511,True,56,9.17440307890427e-07
2022,q7_2022-12-10,2022-12-10T23:59:59+00:00,6,True,history,ypp_observed,y2_supported,1478,1478,b19eca6c0cd82a6e3d965bcbfa66a996ecca8cc6344a3feffdabc0d30bb7d9e4,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,3.830131797881682,0.020585755361619888,7.915579723125998,8.19083969465649,0.7848799779269751,28.80916030534351,3.715143114439334,0.049968670627364015,0.0033527772679864416,0.005369629786650904,0.01992810120292569,True,50,9.54685803584987e-07
2023,q7_2023-12-09,2023-12-09T23:59:59+00:00,6,True,context,full,v1,1498,1482,42cf2c9fd8842d08c9c5a96f70b02174a60788fd061348ecf37d4cd38bd0b2b0,c4df6c6bdb8b5752b8ebdd7f46d60afd00a024734abd9f61bfbff251bd9d870f,133,3.9666752746079594,0.02898931232468462,9.615278694366136,10.24812030075188,0.7404998983946353,28.593984962406015,3.6849777106517787,0.050592236934141104,0.007572589157003973,0.012494033548647546,0.018504360097399485,True,64,9.722480675961043e-07
2023,q7_2023-12-09,2023-12-09T23:59:59+00:00,6,True,context,full,y1,1498,1482,42cf2c9fd8842d08c9c5a96f70b02174a60788fd061348ecf37d4cd38bd0b2b0,c4df6c6bdb8b5752b8ebdd7f46d60afd00a024734abd9f61bfbff251bd9d870f,133,3.9666752746079594,0.02898931232468462,9.615278694366136,10.24812030075188,0.7404998983946353,28.593984962406015,3.6849777106517787,0.050592236934141104,0.007572589157003973,0.012494033548647546,0.018504360097399485,True,64,9.722480675961043e-07
2023,q7_2023-12-09,2023-12-09T23:59:59+00:00,6,True,context,full,y2_all_pairings_original,1498,1482,42cf2c9fd8842d08c9c5a96f70b02174a60788fd061348ecf37d4cd38bd0b2b0,c4df6c6bdb8b5752b8ebdd7f46d60afd00a024734abd9f61bfbff251bd9d870f,133,4.062277313880247,0.03327712226679171,10.200800029401744,10.819548872180452,0.7092054460475514,27.75187969924812,3.6545179881798657,0.05229544894416101,0.007224785242109477,0.011683560418519914,0.017625431051549748,True,54,9.099104466836483e-07
2023,q7_2023-12-09,2023-12-09T23:59:59+00:00,6,True,context,full,y2_supported,1498,1482,42cf2c9fd8842d08c9c5a96f70b02174a60788fd061348ecf37d4cd38bd0b2b0,c4df6c6bdb8b5752b8ebdd7f46d60afd00a024734abd9f61bfbff251bd9d870f,133,3.966161998412798,0.028364215666668025,9.255819922673505,9.849624060150376,0.7344035765088398,28.06015037593985,3.6670114510379714,0.05146681613953414,0.0076741841541374855,0.012256692756211603,0.016994918172403305,True,64,9.56899015941426e-07
